c_obce|naz_obce|psc|c_fu|d_pocpl|d_ukopl|typ_obce|k_nuts4|c_zko|naz_zko|obec_okres|
554979|ABERTAMY|36235|128|2020-01-01||3|CZ0412|3403|OKRES KARLOVY VARY|ABERTAMY (OKRES KARLOVY VARY)|
535826|ADAMOV|37371|77|1990-11-24||3|CZ0311|3301|OKRES ČESKÉ BUDĚJOVICE|ADAMOV (OKRES ČESKÉ BUDĚJOVICE)|
547786|ADRŠPACH|54957|243|2020-01-01||3|CZ0523|3605|OKRES NÁCHOD|ADRŠPACH (OKRES NÁCHOD)|
576077|ALBRECHTICE NAD ORLICÍ|51722|255|1990-11-24|2019-12-31|3|CZ0524|3607|OKRES RYCHNOV N.K.|ALBRECHTICE NAD ORLICÍ (OKRES RYCHNOV N.K.)|
563528|ALBRECHTICE V JIZERSKÝCH HORÁCH|46843|187|2020-01-01||3|CZ0512|3504|OKRES JABLONEC N.N.|ALBRECHTICE V JIZERSKÝCH HORÁCH (OKRES JABLONEC N.N.)|
551929|ANDĚLSKÁ HORA|79331|358|1990-11-24|2004-04-30|3|CZ0811|3801|OKRES BRUNTÁL|ANDĚLSKÁ HORA (OKRES BRUNTÁL)|
586030|ARCHLEBOV|69633|310|2008-01-01||3|CZ0645|3706|OKRES HODONÍN|ARCHLEBOV (OKRES HODONÍN)|
509388|ARNEŠTOVICE|39421|91|2006-01-01|2007-12-31|3|CZ0613|3304|OKRES PELHŘIMOV|ARNEŠTOVICE (OKRES PELHŘIMOV)|
562343|ARNOLTICE|40714|178|1990-01-01||3|CZ0421|3502|OKRES DĚČÍN|ARNOLTICE (OKRES DĚČÍN)|
569828|BABICE|50351|228|2020-01-01||3|CZ0521|3602|OKRES HRADEC KRÁLOVÉ|BABICE (OKRES HRADEC KRÁLOVÉ)|
538043|BABICE|25101|59|2004-05-01||3|CZ0209|3209|OKRES PRAHA-VÝCHOD|BABICE (OKRES PRAHA-VÝCHOD)|
592013|BABICE|68703|336|1990-01-01||3|CZ0722|3711|OKRES UHERSKÉ HRADIŠTĚ|BABICE (OKRES UHERSKÉ HRADIŠTĚ)|
582808|BABICE U ROSIC|66484|293|2006-01-01|2007-12-31|3|CZ0623|3703|OKRES BRNO-VENKOV|BABICE U ROSIC (OKRES BRNO-VENKOV)|
561118|BÁCOVICE|39301|91|1992-01-01|2007-12-31|3|CZ0613|3304|OKRES PELHŘIMOV|BÁCOVICE (OKRES PELHŘIMOV)|
590282|BAČICE|67555|330|2008-01-01||3|CZ0634|3710|OKRES TŘEBÍČ|BAČICE (OKRES TŘEBÍČ)|
544833|BAČKOVICE|67532|332|2007-01-01|2007-12-31|3|CZ0614|3710|OKRES TŘEBÍČ|BAČKOVICE (OKRES TŘEBÍČ)|
535427|BAKOV NAD JIZEROU|29401|50|1990-01-01|2004-04-30|3|CZ0217|3207|OKRES MLADÁ BOLESLAV|BAKOV NAD JIZEROU (OKRES MLADÁ BOLESLAV)|
572560|BANÍN|56802|263|1990-09-01||3|CZ0533|3609|OKRES SVITAVY|BANÍN (OKRES SVITAVY)|
593729|BANTICE|67161|346|2008-01-01||3|CZ0647|3713|OKRES ZNOJMO|BANTICE (OKRES ZNOJMO)|
