c_pracufo|naz_pracufo|nazu_pracufo|c_ufo|d_vzniku|d_zaniku|c_pufo|
2402|ÚP AŠ|Územní pracoviště v Aši|455|1991-01-01||123|
3006|ÚP BLANSKO|Územní pracoviště v Blansku|461|2013-01-01||283|
3007|ÚP BOSKOVICE|Územní pracoviště v Boskovicích|461|2013-01-01||284|
3003|ÚP BRNO III|Územní pracoviště Brno III|461|2013-01-01||290|
3205|ÚP BRUNTÁL|Územní pracoviště v Bruntále|463|2013-01-01||358|
3302|ÚP BYSTŘICE POD HOSTÝNEM|Územní pracoviště v Bystřici pod Hostýnem|464|2013-01-01||322|
2107|ÚP ČESKÝ BROD|Územní pracoviště v Českém Brodě|452|2013-01-01||35|
2503|ÚP DĚČÍN|Územní pracoviště v Děčíně|456|2013-01-01||178|
2704|ÚP DVŮR KRÁLOVÉ|Územní pracoviště ve Dvoře Králové nad Labem|458|2013-01-01||268|
3209|ÚP FULNEK|Územní pracoviště ve Fulneku|463|2013-01-01||374|
3211|ÚP HLUČÍN|Územní pracoviště v Hlučíně|463|2013-01-01||385|
2306|ÚP HORAŽĎOVICE|Územní pracoviště v Horažďovicích|454|1991-01-01||133|
2701|ÚP HRADEC KRÁLOVÉ|Územní pracoviště v Hradci Králové|458|2013-01-01||228|
2403|ÚP CHEB|Územní pracoviště v Chebu|455|1991-01-01||123|
3012|ÚP IVANČICE|Územní pracoviště v Ivančicích|461|2013-01-01||294|
2707|ÚP JIČÍN|Územní pracoviště v Jičíně|458|2013-01-01||238|
2505|ÚP KADAŇ|Územní pracoviště v Kadani|456|2013-01-01||183|
2110|ÚP KLADNO|Územní pracoviště v Kladně|452|2013-01-01||30|
3213|ÚP KOPŘIVNICE|Územní pracoviště v Kopřivnici|463|2013-01-01||376|
2404|ÚP KRASLICE|Územní pracoviště v Kraslicích|455|2013-01-01||155|
3013|ÚP KYJOV|Územní pracoviště v Kyjově|461|2013-01-01||310|
2507|ÚP LITOMĚŘICE|Územní pracoviště v Litoměřicích|456|2013-01-01||196|
2509|ÚP LOUNY|Územní pracoviště v Lounech|456|2013-01-01||201|
3014|ÚP MIKULOV|Územní pracoviště v Mikulově|461|2013-01-01||298|
2806|ÚP MORAVSKÁ TŘEBOVÁ|Územní pracoviště v Moravské Třebové|459|2013-01-01||263|
2709|ÚP NÁCHOD|Územní pracoviště v Náchodě|458|2013-01-01||243|
2710|ÚP NOVÁ PAKA|Územní pracoviště v Nové Pace|458|1991-01-01||240|
2118|ÚP NYMBURK|Územní pracoviště v Nymburku|452|2013-01-01||53|
3202|ÚP OSTRAVA II|Územní pracoviště Ostrava II|463|2013-01-01||389|
3306|ÚP OTROKOVICE|Územní pracoviště v Otrokovicích|464|1991-01-01||305|
2208|ÚP PÍSEK|Územní pracoviště v Písku|453|2013-01-01||97|
2511|ÚP PODBOŘANY|Územní pracoviště v Podbořanech|456|2013-01-01||203|
2010|ÚP PRAHA 10|Územní pracoviště pro Prahu 10|451|2013-01-01||10|
2005|ÚP PRAHA 5|Územní pracoviště pro Prahu 5|451|2013-01-01||5|
2009|ÚP PRAHA 9|Územní pracoviště pro Prahu 9|451|2013-01-01||9|
2209|ÚP PRACHATICE|Územní pracoviště v Prachaticích|453|2013-01-01||101|
2311|ÚP PŘEŠTICE|Územní pracoviště v Přešticích|454|2013-01-01||142|
2512|ÚP ROUDNICE NAD LABEM|Územní pracoviště v Roudnici nad Labem|456|2013-01-01||198|
2122|ÚP ŘÍČANY|Územní pracoviště v Říčanech|452|2013-01-01||59|
3016|ÚP SLAVKOV U BRNA|Územní pracoviště ve Slavkově u Brna|461|2013-01-01||341|
2314|ÚP STŘÍBRO|Územní pracoviště ve Stříbře|454|2013-01-01||160|
3109|ÚP ŠUMPERK|Územní pracoviště v Šumperku|462|1991-01-01||398|
2911|ÚP TELČ|Územní pracoviště v Telči|460|1991-01-01||314|
2713|ÚP TRUTNOV|Územní pracoviště v Trutnově|458|2013-01-01||268|
2609|ÚP TURNOV|Územní pracoviště v Turnově|457|2013-01-01||260|
2501|ÚP ÚSTÍ NAD LABEM|Územní pracoviště v Ústí nad Labem|456|2013-01-01||214|
2913|ÚP VELKÉ MEZIŘÍČÍ|Územní pracoviště ve Velkém Meziříčí|460|2013-01-01||353|
2217|ÚP VODŇANY|Územní pracoviště ve Vodňanech|453|2013-01-01||105|
2810|ÚP VYSOKÉ MÝTO|Územní pracoviště ve Vysokém Mýtě|459|2013-01-01||274|
3020|ÚP ZNOJMO|Územní pracoviště ve Znojmě|461|2013-01-01||346|
2610|ÚP ŽELEZNÝ BROD|Územní pracoviště v Železném Brodě|457|1991-01-01||187|
2103|ÚP BENEŠOV|Územní pracoviště v Benešově|452|2013-01-01||21|
2202|ÚP BLATNÁ|Územní pracoviště v Blatné|453|2013-01-01||105|
2105|ÚP BRANDÝS N.L. - ST.BOL.|Územní pracoviště v Brandýse n.L.-Staré Bol.|452|2013-01-01||57|
3004|ÚP BRNO IV|Územní pracoviště Brno IV|461|2013-01-01||291|
3008|ÚP BŘECLAV|Územní pracoviště v Břeclavi|461|2013-01-01||298|
2106|ÚP ČÁSLAV|Územní pracoviště v Čáslavi|452|1991-01-01||39|
2203|ÚP ČESKÝ KRUMLOV|Územní pracoviště v Českém Krumlově|453|1991-01-01||82|
2703|ÚP DOBRUŠKA|Územní pracoviště v Dobrušce|458|2013-01-01||254|
3207|ÚP FRÝDEK-MÍSTEK|Územní pracoviště ve Frýdku-Místku|463|2013-01-01||362|
3210|ÚP HAVÍŘOV|Územní pracoviště v Havířově|463|2013-01-01||370|
3010|ÚP HODONÍN|Územní pracoviště v Hodoníně|461|2013-01-01||309|
2307|ÚP HORŠOVSKÝ TÝN|Územní pracoviště v Horšovském Týně|454|1991-01-01||118|
3102|ÚP HRANICE|Územní pracoviště v Hranicích|462|1991-01-01||394|
2504|ÚP CHOMUTOV|Územní pracoviště v Chomutově|456|2013-01-01||182|
2604|ÚP JABLONEC NAD NISOU|Územní pracoviště v Jablonci nad Nisou|457|2013-01-01||187|
2901|ÚP JIHLAVA|Územní pracoviště v Jihlavě|460|2013-01-01||314|
2206|ÚP KAPLICE|Územní pracoviště v Kaplici|453|2013-01-01||82|
2308|ÚP KLATOVY|Územní pracoviště v Klatovech|454|2013-01-01||133|
2708|ÚP KOSTELEC NAD ORLICÍ|Územní pracoviště v Kostelci nad Orlicí|458|2013-01-01||253|
3214|ÚP KRNOV|Územní pracoviště v Krnově|463|2013-01-01||359|
2906|ÚP LEDEČ NAD SÁZAVOU|Územní pracoviště v Ledči nad Sázavou|460|1991-01-01||223|
2805|ÚP LITOMYŠL|Územní pracoviště v Litomyšli|459|2013-01-01||263|
3305|ÚP LUHAČOVICE|Územní pracoviště v Luhačovicích|464|2013-01-01||303|
2207|ÚP MILEVSKO|Územní pracoviště v Milevsku|453|2013-01-01||98|
2907|ÚP MORAVSKÉ BUDĚJOVICE|Územní pracoviště v Moravských Budějovicích|460|1991-01-01||332|
2908|ÚP NÁMĚŠŤ NAD OSLAVOU|Územní pracoviště v Náměšti nad Oslavou|460|2013-01-01||330|
2606|ÚP NOVÝ BOR|Územní pracoviště v Novém Boru|457|1991-01-01||172|
3101|ÚP OLOMOUC|Územní pracoviště v Olomouci|462|1991-01-01||379|
3203|ÚP OSTRAVA III|Územní pracoviště Ostrava III|463|2013-01-01||390|
2909|ÚP PACOV|Územní pracoviště v Pacově|460|2013-01-01||91|
2301|ÚP PLZEŇ|Územní pracoviště v Plzni|454|2013-01-01||138|
2119|ÚP PODĚBRADY|Územní pracoviště v Poděbradech|452|2013-01-01||55|
2002|ÚP PRAHA 2|Územní pracoviště pro Prahu 2|451|2013-01-01||2|
2006|ÚP PRAHA 6|Územní pracoviště pro Prahu 6|451|2013-01-01||6|
2011|ÚP PRAHA-JIŽNÍ MĚSTO|Územní pracoviště pro Prahu - Jižní Město|451|2013-01-01||11|
3106|ÚP PROSTĚJOV|Územní pracoviště v Prostějově|462|1991-01-01||325|
2120|ÚP PŘÍBRAM|Územní pracoviště v Příbrami|452|2013-01-01||63|
3307|ÚP ROŽNOV POD RADH.|Územní pracoviště v Rožnově pod Radhoštěm|464|2013-01-01||404|
2123|ÚP SEDLČANY|Územní pracoviště v Sedlčanech|452|2013-01-01||66|
2210|ÚP SOBĚSLAV|Územní pracoviště v Soběslavi|453|2013-01-01||111|
2315|ÚP SUŠICE|Územní pracoviště v Sušici|454|2013-01-01||133|
