c_ufo|nazu_ufo|nazu_predl|ufo_predl|c_komit|k_bank|d_vzniku|d_zaniku|k_ufo_vema|
551|Finanční ředitelství pro hlavní město Prahu|hlavní město Prahu|pro|||1991-01-01|2012-12-31|\ |
558|Finanční ředitelství v Ostravě|Ostravě|v|8028761|710|1991-01-01|2012-12-31|\ |
288|Finanční úřad Brno I|Brno I||97629621|710|1991-01-01|2012-12-31|3001|
293|Finanční úřad Brno-venkov|Brno-venkov||7624641|710|1991-01-01|2012-12-31|3005|
140|Finanční úřad Plzeň-jih|Plzeň-jih||7625361|710|1991-01-01|2012-12-31|2303|
453|Finanční úřad pro Jihočeský kraj|Jihočeský kraj|pro|77627231|710|2013-01-01||2200|
458|Finanční úřad pro Královéhradecký kraj|Královéhradecký kraj|pro|77626511|710|2013-01-01||2700|
459|Finanční úřad pro Pardubický kraj|Pardubický kraj|pro|77622561|710|2013-01-01||2800|
10|Finanční úřad pro Prahu 10|Prahu 10|pro|7622101|710|1991-01-01|2012-12-31|2010|
5|Finanční úřad pro Prahu 5|Prahu 5|pro|7624051|710|1991-01-01|2012-12-31|2005|
9|Finanční úřad pro Prahu 9|Prahu 9|pro|7623091|710|1991-01-01|2012-12-31|2009|
124|Finanční úřad v Aši|Aši|v|17629331|710|1991-01-01|2012-12-31|2402|
283|Finanční úřad v Blansku|Blansku|v|7627631|710|1991-01-01|2012-12-31|3006|
284|Finanční úřad v Boskovicích|Boskovicích|v|47629631|710|1991-01-01|2012-12-31|3007|
298|Finanční úřad v Břeclavi|Břeclavi|v|7621651|710|1991-01-01|2012-12-31|3008|
39|Finanční úřad v Čáslavi|Čáslavi|v|17621161|710|1991-01-01|2012-12-31|2106|
369|Finanční úřad v Českém Těšíně|Českém Těšíně|v|37621791|710|1991-01-01|2012-12-31|3206|
254|Finanční úřad v Dobrušce|Dobrušce|v|27622571|710|1991-01-01|2012-12-31|2703|
223|Finanční úřad v Havlíčkově Brodě|Havlíčkově Brodě|v|97622681|710|1991-01-01|2012-12-31|2903|
322|Finanční úřad v Holešově|Holešově|v|27621691|710|1991-01-01|2012-12-31|3303|
239|Finanční úřad v Hořicích|Hořicích|v|67622541|710|1991-01-01|2012-12-31|2705|
92|Finanční úřad v Humpolci|Humpolci|v|27628711|710|1991-01-01|2012-12-31|2904|
224|Finanční úřad v Chotěboři|Chotěboři|v|77621681|710|1991-01-01|2012-12-31|2905|
245|Finanční úřad v Jaroměři|Jaroměři|v|47629551|710|1991-01-01|2012-12-31|2706|
259|Finanční úřad v Jilemnici|Jilemnici|v|77620451|710|1991-01-01|2012-12-31|2605|
128|Finanční úřad v Karlových Varech|Karlových Varech|v|7620341|710|1991-01-01|2012-12-31|2401|
34|Finanční úřad v Kolíně|Kolíně|v|7629151|710|1991-01-01|2012-12-31|2111|
146|Finanční úřad v Kralovicích|Kralovicích|v|47624371|710|1991-01-01|2012-12-31|2309|
320|Finanční úřad v Kroměříži|Kroměříži|v|7620691|710|1991-01-01|2012-12-31|3304|
192|Finanční úřad v Liberci|Liberci|v|97629461|710|1991-01-01|2012-12-31|2601|
380|Finanční úřad v Litovli|Litovli|v|27622811|710|1991-01-01|2012-12-31|3105|
125|Finanční úřad v Mariánských Lázních|Mariánských Lázních|v|27624331|710|1991-01-01|2012-12-31|2405|
48|Finanční úřad v Mladé Boleslavi|Mladé Boleslavi|v|7620181|710|1991-01-01|2012-12-31|2115|
332|Finanční úřad v Moravských Budějovicích|Moravských Budějovicích|v|77625711|710|1991-01-01|2012-12-31|2907|
45|Finanční úřad v Neratovicích|Neratovicích|v|27624171|710|1991-01-01|2012-12-31|2117|
374|Finanční úřad v Novém Jičíně|Novém Jičíně|v|7624801|710|1991-01-01|2012-12-31|3215|
371|Finanční úřad v Orlové|Orlové|v|67628791|710|1991-01-01|2012-12-31|3217|
248|Finanční úřad v Pardubicích|Pardubicích|v|7624561|710|1991-01-01|2012-12-31|2801|
202|Finanční úřad v Podbořanech|Podbořanech|v|27625481|710|1991-01-01|2012-12-31|2511|
325|Finanční úřad v Prostějově|Prostějově|v|97620811|710|1991-01-01|2012-12-31|3106|
63|Finanční úřad v Příbrami|Příbrami|v|7624211|710|1991-01-01|2012-12-31|2120|
404|Finanční úřad v Rožnově pod Radhoštěm|Rožnově pod Radhoštěm|v|77627661|710|1991-01-01|2012-12-31|3307|
66|Finanční úřad v Sedlčanech|Sedlčanech|v|57621211|710|1991-01-01|2012-12-31|2123|
135|Finanční úřad v Sušici|Sušici|v|27629351|710|1991-01-01|2012-12-31|2315|
188|Finanční úřad v Tanvaldě|Tanvaldě|v|17628451|710|1991-01-01|2012-12-31|2608|
78|Finanční úřad v Trhových Svinech|Trhových Svinech|v|17624231|710|1991-01-01|2012-12-31|2213|
364|Finanční úřad v Třinci|Třinci|v|87621781|710|1991-01-01|2012-12-31|3218|
336|Finanční úřad v Uherském Hradišti|Uherském Hradišti|v|7624721|710|1991-01-01|2012-12-31|3309|
275|Finanční úřad v Žamberku|Žamberku|v|67625611|710|1991-01-01|2012-12-31|2811|
362|Finanční úřad ve Frýdku-Místku|Frýdku-Místku|ve|7628781|710|1991-01-01|2012-12-31|3207|
31|Finanční úřad ve Slaném|Slaném|ve|27622141|710|1991-01-01|2012-12-31|2124|
263|Finanční úřad ve Svitavách|Svitavách|ve|7626591|710|1991-01-01|2012-12-31|2808|
353|Finanční úřad ve Velkém Meziříčí|Velkém Meziříčí|ve|37622751|710|1991-01-01|2012-12-31|2913|
107|Finanční úřad ve Vodňanech|Vodňanech|ve|37629291|710|1991-01-01|2012-12-31|2217|
274|Finanční úřad ve Vysokém Mýtě|Vysokém Mýtě|ve|47624611|710|1991-01-01|2012-12-31|2810|
351|Finanční úřad ve Žďáru nad Sázavou|Žďáru nad Sázavou|ve|7626751|710|1991-01-01|2012-12-31|2914|
